mod$group,dist,Pasture,TRT
RNW2017,0.269620228,RNW,SLG
RNW2018,0.273147377,RNW,SLG
RNW2018,0.210940731,RNW,SLG
RNW2018,0.31787168,RNW,SLG
RNW2018,0.411239329,RNW,SLG
RNW2018,0.319326927,RNW,SLG
RNW2018,0.344121355,RNW,SLG
RNW2018,0.496242494,RNW,SLG
RNW2018,0.596772016,RNW,SLG
RNW2019,0.59738019,RNW,SLG
RNW2019,0.583097386,RNW,SLG
RNW2019,0.364904726,RNW,SLG
RNW2019,0.192529777,RNW,SLG
RNW2019,0.372215355,RNW,SLG
RNW2019,0.533348356,RNW,SLG
RNW2019,0.168400285,RNW,SLG
RNW2019,0.263812769,RNW,SLG
RNW2020,0.716546015,RNW,SLG
RNW2020,0.655148904,RNW,SLG
RNW2020,0.586136861,RNW,SLG
RNW2020,0.587261287,RNW,SLG
RNW2020,0.360675216,RNW,SLG
RNW2020,0.644392227,RNW,SLG
RNW2020,0.533918602,RNW,SLG
RNW2020,0.4588151,RNW,SLG
RSE2017,0.50726462,RSE,SLG
RSE2017,0.333637134,RSE,SLG
RSE2017,0.358094345,RSE,SLG
RSE2017,0.224831509,RSE,SLG
RSE2017,0.394473129,RSE,SLG
RSE2017,0.591246008,RSE,SLG
RSE2017,0.395407907,RSE,SLG
RSE2017,0.293056434,RSE,SLG
RSE2018,0.68549349,RSE,SLG
RSE2018,0.426797106,RSE,SLG
RSE2018,0.408683708,RSE,SLG
RSE2018,0.375303091,RSE,SLG
RSE2018,0.727446709,RSE,SLG
RSE2018,0.533808413,RSE,SLG
RSE2018,0.221092035,RSE,SLG
RSE2018,0.540513841,RSE,SLG
RSE2019,0.723336319,RSE,SLG
RSE2019,0.587498919,RSE,SLG
RSE2019,0.473563895,RSE,SLG
RSE2019,0.559481249,RSE,SLG
RSE2019,0.342312013,RSE,SLG
RSE2019,0.626459269,RSE,SLG
RSE2019,0.518943303,RSE,SLG
RSE2019,0.579441315,RSE,SLG
RSE2020,0.597126925,RSE,SLG
RSE2020,0.547020899,RSE,SLG
RSE2020,0.607149192,RSE,SLG
RSE2020,0.467713581,RSE,SLG
RSE2020,0.596525265,RSE,SLG
RSE2020,0.628866946,RSE,SLG
RSE2020,0.431980755,RSE,SLG
RSE2020,0.624758343,RSE,SLG
WAG2018,0.650786083,WAG,MTRG
WAG2018,0.432220445,WAG,MTRG
WAG2018,0.390162683,WAG,MTRG
WAG2018,0.4313173,WAG,MTRG
WAG2018,0.466587697,WAG,MTRG
WAG2018,0.394270135,WAG,MTRG
WAG2018,0.618450084,WAG,MTRG
WAG2018,0.449122703,WAG,MTRG
WAG2018,0.59674813,WAG,MTRG
WAG2018,0.430845167,WAG,MTRG
WAG2018,0.40888346,WAG,MTRG
WAG2018,0.403064493,WAG,MTRG
WAG2018,0.438097829,WAG,MTRG
WAG2018,0.501991477,WAG,MTRG
WAG2018,0.414873219,WAG,MTRG
WAG2018,0.299449274,WAG,MTRG
WAG2018,0.428382498,WAG,MTRG
WAG2018,0.416935971,WAG,MTRG
WAG2018,0.535858353,WAG,MTRG
WAG2018,0.389842172,WAG,MTRG
WAG2018,0.512822528,WAG,MTRG
WAG2018,0.424440283,WAG,MTRG
WAG2018,0.542986396,WAG,MTRG
WAG2018,0.300547381,WAG,MTRG
WAG2018,0.267013677,WAG,MTRG
WAG2018,0.761738953,WAG,MTRG
WAG2018,0.535227773,WAG,MTRG
WAG2018,0.407923581,WAG,MTRG
WAG2018,0.462048657,WAG,MTRG
WAG2018,0.328996339,WAG,MTRG
WAG2018,0.465354112,WAG,MTRG
WAG2018,0.368958852,WAG,MTRG
WAG2019,0.512546617,WAG,MTRG
WAG2019,0.409142652,WAG,MTRG
WAG2019,0.405645765,WAG,MTRG
WAG2019,0.427064747,WAG,MTRG
WAG2019,0.430079801,WAG,MTRG
WAG2019,0.472385219,WAG,MTRG
WAG2019,0.521752525,WAG,MTRG
WAG2019,0.574356438,WAG,MTRG
WAG2019,0.453746648,WAG,MTRG
WAG2019,0.390545613,WAG,MTRG
WAG2019,0.46407966,WAG,MTRG
WAG2019,0.491114098,WAG,MTRG
WAG2019,0.29587361,WAG,MTRG
WAG2019,0.464449132,WAG,MTRG
WAG2019,0.446836845,WAG,MTRG
WAG2019,0.42831936,WAG,MTRG
WAG2019,0.41106856,WAG,MTRG
WAG2019,0.482350341,WAG,MTRG
WAG2019,0.429651514,WAG,MTRG
WAG2019,0.428727925,WAG,MTRG
WAG2019,0.429018758,WAG,MTRG
WAG2019,0.280875345,WAG,MTRG
WAG2019,0.326921541,WAG,MTRG
WAG2019,0.321572866,WAG,MTRG
WAG2019,0.296348745,WAG,MTRG
WAG2019,0.59884877,WAG,MTRG
WAG2019,0.364998827,WAG,MTRG
WAG2019,0.637511163,WAG,MTRG
WAG2019,0.290549469,WAG,MTRG
WAG2019,0.396185355,WAG,MTRG
WAG2019,0.435375615,WAG,MTRG
WAG2019,0.262735883,WAG,MTRG
WAG2020,0.413761713,WAG,MTRG
WAG2020,0.465612112,WAG,MTRG
WAG2020,0.60407251,WAG,MTRG
WAG2020,0.618076953,WAG,MTRG
WAG2020,0.62281813,WAG,MTRG
WAG2020,0.508918572,WAG,MTRG
WAG2020,0.42224568,WAG,MTRG
WAG2020,0.408544625,WAG,MTRG
WAG2020,0.511085237,WAG,MTRG
WAG2020,0.449400944,WAG,MTRG
WAG2020,0.586390343,WAG,MTRG
WAG2020,0.492487715,WAG,MTRG
WAG2020,0.226221963,WAG,MTRG
WAG2020,0.510164283,WAG,MTRG
WAG2020,0.300063961,WAG,MTRG
WAG2020,0.618778964,WAG,MTRG
WAG2020,0.367802582,WAG,MTRG
WAG2020,0.35171439,WAG,MTRG
WAG2020,0.465125679,WAG,MTRG
WAG2020,0.528916416,WAG,MTRG
WAG2020,0.638956205,WAG,MTRG
WAG2020,0.552791321,WAG,MTRG
WAG2020,0.34655243,WAG,MTRG
WAG2020,0.467592193,WAG,MTRG
WAG2020,0.401244293,WAG,MTRG
WAG2020,0.405202925,WAG,MTRG
WAG2020,0.428709697,WAG,MTRG
WAG2020,0.526826616,WAG,MTRG
WAG2020,0.437816841,WAG,MTRG
WAG2020,0.498995263,WAG,MTRG
WAG2020,0.397388313,WAG,MTRG
WAG2020,0.670743167,WAG,MTRG
