YT,AMAV,AMBI,AMCO,AMGO,AMRO,AMWI,BASP,BASW,BCNH,BHCO,BLTE,BOBO,BRBL,BWTE,CAEG,CANG,CCLO,CCSP,COGR,CONI,COYE,DICK,EABL,EAKI,FRGU,GADW,GHOW,GREG,GRSP,GWTE,HESP,HOGR,HOLA,KILL,LESC,LESP,LEYE,MAGO,MALL,MAWR,MODO,NESP,NOHA,NOPI,NSHO,OROR,RBGU,RNDU,RUDU,RWBL,SAVS,SEWR,SORA,SPPI,STGR,SWHA,TRES,UPSA,WEKI,WEME,WILL,WIPH,WISN,YEWA,YHBL,YEAR.x,Transect.x,meanpopr.x,meanbrin.x,meanNC3.x,meanIC3.x,meanNC4.x,meanIC4.x,meanNleg.x,meanIleg.x,meanNForb.x,meanIForb.x,meanNWood.x,meanIWood.x,meanBare.x,meanDead.x,R.x,ld.x,TRT.x,bloop1.x,TSF.x,Season.x,SiteName.x,toposd15_var_2.x,FocalSt_TWI15_2.x,YEAR.y,Transect.y,meanpopr.y,meanbrin.y,meanNC3.y,meanIC3.y,meanNC4.y,meanIC4.y,meanNleg.y,meanIleg.y,meanNForb.y,meanIForb.y,meanNWood.y,meanIWood.y,meanBare.y,meanDead.y,R.y,ld.y,TRT.y,bloop1.y,TSF.y,Season.y,SiteName.y,toposd15_var_2.y,FocalSt_TWI15_2.y,Shape.Area,TransectAlone,pasyr,
DNENWE2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,DNENWE,17.45,10.1,4.45,0.3,13.8,0,1.05,3.3,17.5,3.45,1.35,0,0.3,13.45,2.5625,39.1375,PBG20,DNENWE20191,UNB,NA,Thin Loamy,11.79372,0.245933,2019,DNENWE,17.45,10.1,4.45,0.3,13.8,0,1.05,3.3,17.5,3.45,1.35,0,0.3,13.45,2.5625,39.1375,PBG20,DNENWE20191,UNB,NA,Thin Loamy,11.79372,0.245933,2412.371695,DNENWE,DNE2019,
DNENWE2020,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2020,DNENWE,13.15,3.75,10.45,0,1.2,0,0.75,1.2,8.95,0.15,2.55,0,2.4,19.05,3.0875,40.6875,PBG20,DNENWE20201,UNB,NA,Thin Loamy,11.79372,0.245933,2020,DNENWE,13.15,3.75,10.45,0,1.2,0,0.75,1.2,8.95,0.15,2.55,0,2.4,19.05,3.0875,40.6875,PBG20,DNENWE20201,UNB,NA,Thin Loamy,11.79372,0.245933,2412.371695,DNENWE,DNE2020,
DNENWW2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2017,DNENWW,33.68421,9.105263,14.15789,0,3.894737,0,4.210526,6.315789,15.52632,2.368421,4.842105,0,4.526316,7.368421,1.736842,10.65789,PBG20,DNENWW20171,UNB,NA,Thin Loamy,0.583643,1.956855,2017,DNENWW,33.68421,9.105263,14.15789,0,3.894737,0,4.210526,6.315789,15.52632,2.368421,4.842105,0,4.526316,7.368421,1.736842,10.65789,PBG20,DNENWW20171,UNB,NA,Thin Loamy,0.583643,1.956855,1528.685479,DNENWW,DNE2017,
DNENWW2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,DNENWW,37.2,7.1,10.95,0,5.05,0,5.1,1.05,25.8,1.5,7.5,0,4.2,1.8,2.2,11.2,PBG20,DNENWW20181,UNB,NA,Thin Loamy,0.583643,1.956855,2018,DNENWW,37.2,7.1,10.95,0,5.05,0,5.1,1.05,25.8,1.5,7.5,0,4.2,1.8,2.2,11.2,PBG20,DNENWW20181,UNB,NA,Thin Loamy,0.583643,1.956855,1528.685479,DNENWW,DNE2018,
DNENWW2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2019,DNENWW,33.45,5.85,4.3,1.9,4.55,0,4,4.65,18.3,1.05,2.55,0,5.4,2.7,2.15,17.275,PBG20,DNENWW20191,UNB,NA,Thin Loamy,0.583643,1.956855,2019,DNENWW,33.45,5.85,4.3,1.9,4.55,0,4,4.65,18.3,1.05,2.55,0,5.4,2.7,2.15,17.275,PBG20,DNENWW20191,UNB,NA,Thin Loamy,0.583643,1.956855,1528.685479,DNENWW,DNE2019,
DNENWW2020,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2020,DNENWW,6.6,2.25,6.15,0.15,3.9,0,1.5,1.65,13.7,0.3,3.45,0,18.15,7.8,1.625,5.7625,PBG20,DNENWW20201,0,SPRING,Thin Loamy,0.583643,1.956855,2020,DNENWW,6.6,2.25,6.15,0.15,3.9,0,1.5,1.65,13.7,0.3,3.45,0,18.15,7.8,1.625,5.7625,PBG20,DNENWW20201,0,SPRING,Thin Loamy,0.583643,1.956855,1528.685479,DNENWW,DNE2020,
DNESEE2017,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2017,DNESEE,21.04762,2.428571,22,0.285714,4.809524,0,9.47619,6,15.28571,3.571429,3.904762,0,8.571429,2.857143,1.416667,3.869048,PBG20,DNESEE20171,0,SPRING,Very Shallow,2.176658,1.189263,2017,DNESEE,21.04762,2.428571,22,0.285714,4.809524,0,9.47619,6,15.28571,3.571429,3.904762,0,8.571429,2.857143,1.416667,3.869048,PBG20,DNESEE20171,0,SPRING,Very Shallow,2.176658,1.189263,6728.477526,DNESEE,DNE2017,
DNESEE2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,DNESEE,29.4,4.15,19.15,0,9.7,0,11.5,1.05,23.15,3.4,5.8,0,2.55,1.8,2.3,7.2,PBG20,DNESEE20181,1,SPRING,Very Shallow,2.176658,1.189263,2018,DNESEE,29.4,4.15,19.15,0,9.7,0,11.5,1.05,23.15,3.4,5.8,0,2.55,1.8,2.3,7.2,PBG20,DNESEE20181,1,SPRING,Very Shallow,2.176658,1.189263,6728.477526,DNESEE,DNE2018,
DNESEE2019,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,DNESEE,26.95,3,15.1,0,11.05,0,5.25,1.35,15.4,1.05,1.2,0,7.75,12.3,1.9125,11.4875,PBG20,DNESEE20191,2,SPRING,Very Shallow,2.176658,1.189263,2019,DNESEE,26.95,3,15.1,0,11.05,0,5.25,1.35,15.4,1.05,1.2,0,7.75,12.3,1.9125,11.4875,PBG20,DNESEE20191,2,SPRING,Very Shallow,2.176658,1.189263,6728.477526,DNESEE,DNE2019,
DNESEE2020,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2020,DNESEE,20,2.55,3,0.15,8.25,0,2.1,1.2,7.6,0.75,3.1,0,5.05,22.4,1.7125,13.5625,PBG20,DNESEE20201,3,SPRING,Very Shallow,2.176658,1.189263,2020,DNESEE,20,2.55,3,0.15,8.25,0,2.1,1.2,7.6,0.75,3.1,0,5.05,22.4,1.7125,13.5625,PBG20,DNESEE20201,3,SPRING,Very Shallow,2.176658,1.189263,6728.477526,DNESEE,DNE2020,
DNESEW2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,DNESEW,43.25,11.55,19.55,0,1.05,0.3,7.2,7.7,11.35,1.65,8.55,0,1.05,7.75,2.4,20.25,PBG20,DNESEW20171,UNB,FALL,Very Shallow,1.385374,1.567624,2017,DNESEW,43.25,11.55,19.55,0,1.05,0.3,7.2,7.7,11.35,1.65,8.55,0,1.05,7.75,2.4,20.25,PBG20,DNESEW20171,UNB,FALL,Very Shallow,1.385374,1.567624,0,DNESEW,DNE2017,
DNESEW2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,DNESEW,52.65,13.05,5.85,0,1.2,0,8.95,1.35,14.6,0,11.8,0,3.85,1.5,2.35,9.45,PBG20,DNESEW20181,0,FALL,Very Shallow,1.385374,1.567624,2018,DNESEW,52.65,13.05,5.85,0,1.2,0,8.95,1.35,14.6,0,11.8,0,3.85,1.5,2.35,9.45,PBG20,DNESEW20181,0,FALL,Very Shallow,1.385374,1.567624,0,DNESEW,DNE2018,
DNESEW2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,DNESEW,30.25,7.4,2.4,0,2.25,0,3.3,7.95,10.2,0.3,6.4,0,1.2,0,2.2125,27.45,PBG20,DNESEW20191,1,FALL,Very Shallow,1.385374,1.567624,2019,DNESEW,30.25,7.4,2.4,0,2.25,0,3.3,7.95,10.2,0.3,6.4,0,1.2,0,2.2125,27.45,PBG20,DNESEW20191,1,FALL,Very Shallow,1.385374,1.567624,0,DNESEW,DNE2019,
DNESEW2020,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2020,DNESEW,33.4,3.9,2.7,0.3,2.4,0,1.95,1.65,10.6,0.45,6.3,0,2.1,16,2,18.3625,PBG20,DNESEW20201,2,FALL,Very Shallow,1.385374,1.567624,2020,DNESEW,33.4,3.9,2.7,0.3,2.4,0,1.95,1.65,10.6,0.45,6.3,0,2.1,16,2,18.3625,PBG20,DNESEW20201,2,FALL,Very Shallow,1.385374,1.567624,0,DNESEW,DNE2020,
DNESWE2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,DNESWE,27.4,1.8,36.75,0,1.5,0,9.25,2.85,20.05,1.65,0.45,0,6,6.6,1.55,10.25,PBG20,DNESWE20171,UNB,NA,Very Shallow,1.455206,1.739191,2017,DNESWE,27.4,1.8,36.75,0,1.5,0,9.25,2.85,20.05,1.65,0.45,0,6,6.6,1.55,10.25,PBG20,DNESWE20171,UNB,NA,Very Shallow,1.455206,1.739191,0,DNESWE,DNE2017,
DNESWE2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2018,DNESWE,36.7,0,22.2,0.15,9.05,0,4.95,2.7,25.55,0,0.15,0,7.7,2.7,2.05,12.5,PBG20,DNESWE20181,UNB,NA,Very Shallow,1.455206,1.739191,2018,DNESWE,36.7,0,22.2,0.15,9.05,0,4.95,2.7,25.55,0,0.15,0,7.7,2.7,2.05,12.5,PBG20,DNESWE20181,UNB,NA,Very Shallow,1.455206,1.739191,0,DNESWE,DNE2018,
DNESWE2019,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,DNESWE,33.4,0.45,16.45,0,8.5,0.15,4.2,2.55,10.7,0.15,1.5,0,7.2,10.75,2.15,15.35,PBG20,DNESWE20191,UNB,NA,Very Shallow,1.455206,1.739191,2019,DNESWE,33.4,0.45,16.45,0,8.5,0.15,4.2,2.55,10.7,0.15,1.5,0,7.2,10.75,2.15,15.35,PBG20,DNESWE20191,UNB,NA,Very Shallow,1.455206,1.739191,0,DNESWE,DNE2019,
DNESWE2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020,DNESWE,15,2.25,18.25,1.2,9.05,0,2.1,1.2,8.4,0,1.8,0,7,32.45,1.4875,26.45,PBG20,DNESWE20201,UNB,NA,Very Shallow,1.455206,1.739191,2020,DNESWE,15,2.25,18.25,1.2,9.05,0,2.1,1.2,8.4,0,1.8,0,7,32.45,1.4875,26.45,PBG20,DNESWE20201,UNB,NA,Very Shallow,1.455206,1.739191,0,DNESWE,DNE2020,
DNESWW2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2017,DNESWW,20.75,8.6,18.2,0,0.9,0.3,4.05,11.65,11.35,5.35,0,0,5.25,4.2,1.2875,6.125,PBG20,DNESWW20171,UNB,NA,Sandy,0.45008,1.673518,2017,DNESWW,20.75,8.6,18.2,0,0.9,0.3,4.05,11.65,11.35,5.35,0,0,5.25,4.2,1.2875,6.125,PBG20,DNESWW20171,UNB,NA,Sandy,0.45008,1.673518,0,DNESWW,DNE2017,
DNESWW2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,DNESWW,31.4,9.35,9.7,0.75,4.65,0,4,9.1,18.8,0.75,0,0,7.8,1.5,1.4,8.2,PBG20,DNESWW20181,UNB,NA,Sandy,0.45008,1.673518,2018,DNESWW,31.4,9.35,9.7,0.75,4.65,0,4,9.1,18.8,0.75,0,0,7.8,1.5,1.4,8.2,PBG20,DNESWW20181,UNB,NA,Sandy,0.45008,1.673518,0,DNESWW,DNE2018,
DNESWW2019,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2019,DNESWW,24.35,2.4,8.9,0,5.9,0,2.55,14.2,13.35,0,0,0,14.05,5.4,1.6875,2.4,PBG20,DNESWW20191,0,SPRING,Sandy,0.45008,1.673518,2019,DNESWW,24.35,2.4,8.9,0,5.9,0,2.55,14.2,13.35,0,0,0,14.05,5.4,1.6875,2.4,PBG20,DNESWW20191,0,SPRING,Sandy,0.45008,1.673518,0,DNESWW,DNE2019,
DNESWW2020,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,DNESWW,14.9,2.1,7.65,0.15,1.5,0,0.75,3.75,14.9,0.15,0,0,5.25,14.85,1.5,7.2,PBG20,DNESWW20201,1,SPRING,Sandy,0.45008,1.673518,2020,DNESWW,14.9,2.1,7.65,0.15,1.5,0,0.75,3.75,14.9,0.15,0,0,5.25,14.85,1.5,7.2,PBG20,DNESWW20201,1,SPRING,Sandy,0.45008,1.673518,0,DNESWW,DNE2020,
DSENEE2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2017,DSENEE,38.65,35.7,9.25,4.65,0,0,3.15,1.8,13.6,2.7,6,0,1.65,9.6,3.55,31.6875,PBG20,DSENEE20171,UNB,SUMMER,Thin Loamy,0.444878,1.660743,2017,DSENEE,38.65,35.7,9.25,4.65,0,0,3.15,1.8,13.6,2.7,6,0,1.65,9.6,3.55,31.6875,PBG20,DSENEE20171,UNB,SUMMER,Thin Loamy,0.444878,1.660743,6068.369739,DSENEE,DSE2017,
DSENEE2018,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,DSENEE,48.90476,13.19048,7.238095,0,3.952381,0,12.85714,0.285714,8.857143,3.142857,6.142857,0,3.285714,1.142857,3.761905,11.33333,PBG20,DSENEE20181,0,SUMMER,Thin Loamy,0.444878,1.660743,2018,DSENEE,48.90476,13.19048,7.238095,0,3.952381,0,12.85714,0.285714,8.857143,3.142857,6.142857,0,3.285714,1.142857,3.761905,11.33333,PBG20,DSENEE20181,0,SUMMER,Thin Loamy,0.444878,1.660743,6068.369739,DSENEE,DSE2018,
